tenure,monthly_charges,total_charges,contract_type,tech_support,internet_service,payment_method,num_support_calls,senior_citizen,paperless_billing,churn
52,85.74,4293.01,One year,No,DSL,Credit card,0,1,No,0
15,67.23,930.11,Month-to-month,No,No,Credit card,2,0,Yes,1
61,108.02,6185.88,Month-to-month,No,No,Mailed check,1,0,Yes,0
21,41.57,860.46,Two year,Yes,Fiber optic,Electronic check,3,0,Yes,0
24,87.78,2051.71,One year,No,Fiber optic,Electronic check,1,0,No,0
3,80.78,221.85,One year,No,Fiber optic,Bank transfer,4,0,Yes,1
22,49.53,1046.91,One year,No,Fiber optic,Credit card,2,0,No,0
53,33.66,1717.73,One year,No,Fiber optic,Credit card,0,0,No,0
2,85.16,154.83,Two year,Yes,No,Electronic check,3,0,Yes,0
30,93.86,2665.38,Month-to-month,Yes,Fiber optic,Bank transfer,0,0,No,1
38,51.56,1814.42,One year,No,DSL,Mailed check,1,0,No,0
2,84.48,159.96,Two year,No,DSL,Mailed check,3,0,No,1
64,59.51,3723.73,Month-to-month,Yes,DSL,Mailed check,0,0,Yes,0
60,91.32,5017.99,One year,No,DSL,Credit card,4,0,No,1
21,39.92,764.82,Month-to-month,Yes,No,Bank transfer,0,1,No,1
33,109.02,3334.78,Two year,Yes,DSL,Electronic check,4,0,Yes,0
58,48.74,2813.43,Month-to-month,Yes,DSL,Credit card,2,1,Yes,0
22,56.78,1217.66,One year,Yes,DSL,Credit card,2,0,Yes,0
49,25.81,1140.68,Month-to-month,No,Fiber optic,Mailed check,2,0,No,1
59,31.15,1727.76,One year,No,Fiber optic,Bank transfer,1,0,Yes,0
42,71.59,2783.5,Month-to-month,Yes,DSL,Bank transfer,1,0,Yes,1
60,46.76,2704.08,Month-to-month,Yes,DSL,Mailed check,0,0,No,0
15,103.55,1469.26,Month-to-month,No,DSL,Mailed check,4,0,Yes,1
62,21.47,1326.41,Two year,Yes,Fiber optic,Mailed check,1,0,No,0
62,57.91,3310.0,Month-to-month,No,DSL,Credit card,0,1,Yes,1
47,53.73,2421.23,Month-to-month,Yes,No,Credit card,1,1,Yes,0
62,21.93,1318.9,One year,No,Fiber optic,Credit card,1,0,Yes,0
51,32.44,1625.58,Month-to-month,Yes,DSL,Electronic check,1,0,No,0
